"","b_ecer","b_echr","b_hcer","b_hchr","v1_ecer","v1_echr","v1_hcer","v1_hchr","sdv1","v0_ecer","v0_echr","v0_hcer","v0_hchr","t0"
"1",2.12839408031875,2.36144317329113,2.42593989333144,2.93790826259894,5.19497029176737,5.07760791425079,4.51303504377175,4.69393852831598,1.23846006480546,3.10626021028299,3.12205965435388,3.52413248976305,4.09299729239105,0.100948498863351
"3",1.82156914977689,1.70354724147442,1.11170716448677,1.57549091906532,4.89675259044073,4.21570836731871,2.9157294471039,3.20254423873639,0.876329791463867,1.83300544159743,1.95141961966023,1.54586775499418,2.32407067178351,0.100918581264575
"4",1.03413873066145,0.943003625379593,1.04889967117205,0.472839789081091,3.24145079695321,2.51104406631887,2.88466473788103,1.77193087923253,0.55424887303897,1.95324755906634,1.51165185263021,1.70413616891664,0.96126497306828,0.100760433171251
"5",1.37467453618531,1.4990956138064,1.47253419290497,1.36273634707102,4.85056174231802,4.99656290163525,4.69487954200065,4.47754594464458,1.34051955904181,3.66689857616804,3.17252626491515,3.53307011992903,2.89034286653837,0.100969077219401
"7",4.17916238356435,4.26279084564887,4.60378269696307,4.55907623885296,5.81207348557566,5.52390021705008,5.65602548863832,5.32987500873863,0.936972077226529,4.50725855198943,4.41816297811348,5.17611035771892,4.86024895297127,0.100993797323581
"8",0.303439858774197,0.250572474379506,0.300645063659869,0.355780189990957,1.09803806043548,0.963587676808273,0.966958051031351,1.07077527612887,0.249324038535032,-0.71598353814349,-0.971610941420607,-0.285021303350216,-0.157759986124378,0.10074470351121
"9",1.98561736911885,1.41665207284873,2.11857179737736,1.84868602167545,3.82399509456227,3.0237064390919,3.56161274479909,3.22762366285726,0.766009237459589,2.2724186750768,1.63466459199247,2.57557254895421,2.18271490069689,0.100868108006311
"10",2.68831373405769,2.12621953908075,1.95203765963648,2.65344383001476,7.11617146851791,4.83128458599709,4.22516837933512,4.32284250679566,1.31929639032997,3.06092760121632,3.13611886507336,2.97812095445338,3.72987911021417,0.101004871395339
"11",2.3628240031508,2.52319939854903,2.35668544390433,1.71671244230306,5.5848551149754,5.17873378972939,4.47760717456898,3.19432124048402,1.15708438973133,3.03788029683517,3.21444878287365,2.96989687521665,2.37215576813577,0.100941616235602
"12",4.09716438659077,4.8873762896118,4.82354531599074,2.85910595300366,6.18976775647561,6.42401266904231,5.89798455697614,3.7874423655347,1.14119273671948,4.69781094847661,5.22605295584884,5.13461506014065,3.27376145949977,0.100906978322101
"13",1.62390746640016,1.09711067370503,1.39003527619366,1.41242800459812,3.6446470138195,2.99174982534269,2.85339812505844,2.93932380313349,0.822114417598994,1.81791034034161,1.48775906018329,2.02041406179584,1.69102407715164,0.100910283017741
"14",2.34034678321123,2.40472634759976,1.79531944789649,2.0664513322233,4.24124828866915,4.2331808694261,2.67098997479872,3.20920997327521,0.721671624251854,1.95373656192451,1.76676249161083,2.20359191319904,2.38341867776422,0.100976088539561
"15",1.75416093589776,2.00996896737784,2.13771763232946,1.83065386312699,3.70629155072041,4.15633011356051,3.51705725067329,3.28369585614448,0.857622527942416,2.16708838622053,2.42743534756704,2.74778364473844,2.13778090632506,0.10093235139202
"17",4.08913494182538,3.74728210263318,4.30931494613301,3.5445725303091,5.8366555396345,5.95151829235439,5.45127472485571,4.93431051717955,1.09820668282256,4.28051528605974,4.20021075582659,4.84532670823832,4.21976328528753,0.10098540918162
"19",3.28443630439669,3.56362652972776,4.19080903023393,3.1573070062967,6.24978125213392,6.55559075374693,4.93256594384225,3.91096539211078,1.2643591045591,3.50729804211674,3.82456452236086,4.61181635817451,3.65416557258835,0.100997534215436
"20",3.40279645702168,3.48069205253244,3.16592705552408,4.21587892218798,6.9993096451174,5.60671146383739,5.61638661920146,5.81338360252257,1.16791315627166,3.92344849309831,4.94584208531606,3.8160923733998,5.3168175934467,0.100989694223284
"21",3.56655501835109,3.24044434394559,3.09850173739832,3.37849984656357,7.5146736920166,5.74810502764295,5.3485220915588,5.19223274913449,1.19723562475495,3.37278746668714,3.67256337989778,3.66642628087055,3.75296133303841,0.100993115206525
"22",0.551824483628263,0.555724278677405,0.511620596759748,0.621383165503837,1.10370673540628,1.12234219119147,0.800357693544718,0.908306057063674,0.256597931738384,-1.95884575803294,-2.52550536301172,-1.7211979966294,-1.09854641344239,0.10094230318429
"23",2.49125870095712,2.60550016609261,2.39496139085103,2.75840921949009,4.50892440459491,4.3700180841473,4.19238776969093,4.33618005334314,0.778720427851881,3.12728732138598,3.19113556622322,3.03954538705683,3.73847970629042,0.100988733184936
"25",2.10145834223862,1.78433006942003,1.64579787034713,1.77405123134769,5.82210679689119,4.09304706908891,3.81867133775521,3.24210743940321,1.01238420480675,2.92032382001749,2.50993221921092,1.69567276702571,2.02530883103994,0.100988151694057
"26",3.10697218921672,4.59093775709145,3.58681536123125,3.90709626454051,5.52937553498141,5.75547442193136,5.10786293044996,4.92675396002274,1.11648209561067,3.03992708280804,5.40193519640234,4.01463555153637,4.31389952941769,0.10096943595924
"29",1.36252196779192,1.1475509815244,0.921597599187522,0.875122466658151,3.57408023464103,2.87629107945815,2.25743578199129,2.12124651099621,0.626343875521844,1.76732046801831,1.62140891648503,1.26153981101344,1.45048047309962,0.100902886399841
"30",0.704987307775757,1.03823190535787,0.913249531437201,0.924799312065317,2.69152337341955,3.05586753034793,2.70034875745749,2.78766061979578,0.755155445246456,1.79151043768721,2.26134363319726,1.89938689246647,1.95369260167325,0.100788034086349
